Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-09-25,Emiliano Martínez,Matchweek 6,Away,W 1–0,Aston Villa,Manchester Utd,Y,GK,90,4,0,4,100,1,0.6,1,0,0,1,9,33,27.3,28,1,85.7,57.3,13,69.2,50.9,9,0,0,1,15.2
2021-10-03,Emiliano Martínez,Matchweek 7,Away,L 1–2,Aston Villa,Tottenham,Y,GK,90,7,2,6,71.4,0,1.7,0,0,0,0,3,17,17.6,32,5,50,41.3,7,14.3,27.3,1,0,0,2,18.3
2021-10-16,Emiliano Martínez,Matchweek 8,Home,L 2–3,Aston Villa,Wolves,Y,GK,90,4,3,1,25,0,2.7,0,0,0,0,4,12,33.3,26,2,34.6,32.5,7,42.9,35.7,5,0,0,0,19
2021-10-22,Emiliano Martínez,Matchweek 9,Away,L 1–3,Aston Villa,Arsenal,Y,GK,90,8,3,5,62.5,0,2.6,1,0,1,0,7,13,53.8,33,4,36.4,34.7,7,14.3,24.1,3,0,0,1,14
2021-10-31,Emiliano Martínez,Matchweek 10,Home,L 1–4,Aston Villa,West Ham,Y,GK,90,8,4,4,50,0,2.5,0,0,0,0,10,17,58.8,25,3,56,45.1,7,42.9,45.3,6,0,0,1,14.8
2021-11-05,Emiliano Martínez,Matchweek 11,Away,L 0–1,Aston Villa,Southampton,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,8,10,80,14,3,50,43.1,5,60,40,15,1,6.7,0,4
2021-11-20,Emiliano Martínez,Matchweek 12,Home,W 2–0,Aston Villa,Brighton,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,1,9,11.1,16,1,43.8,38.6,5,40,37.6,9,0,0,0,11
2021-11-27,Emiliano Martínez,Matchweek 13,Away,W 2–1,Aston Villa,Crystal Palace,Y,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,5,14,35.7,19,4,57.9,44.8,6,50,46.3,12,0,0,0,10.9
2021-12-01,Emiliano Martínez,Matchweek 14,Home,L 1–2,Aston Villa,Manchester City,Y,GK,90,7,2,5,71.4,0,0.9,0,0,0,0,7,14,50,26,6,34.6,30.5,8,62.5,44.6,9,0,0,0,8.4
2021-12-05,Emiliano Martínez,Matchweek 15,Home,W 2–1,Aston Villa,Leicester City,Y,GK,90,4,1,3,75,0,1.9,0,0,0,0,5,20,25,25,5,60,46.6,9,55.6,45.2,5,0,0,0,11.3
